Customer Name,Email,Photo Type,Purchase Date,Price USD,City,State/Province,Country,Payment Method,Shoot Day,Shoot Time
Noah Rhodes,garzaanthony@example.org,Headshot,2024-06-27,127.83,North Judithbury,Illinois,United States,Credit Card,Wednesday,11:00
Jerry Ramirez,blakeerik@example.com,Headshot,2024-08-10,285.17,New Jamesside,Ontario,Canada,Credit Card,Friday,11:00
Brandon Davis,cassandra07@example.net,Wedding,2024-05-23,1702.87,East Susan,Missouri,United States,e-Transfer,Saturday,11:00
Lisa Hensley,janetwilliams@example.org,Engagement,2025-01-15,334.76,Millerport,Arizona,United States,Venmo,Wednesday,11:00
Jesse Flowers,mitchellclark@example.com,Portrait (Studio),2024-12-20,188.87,Port Jesseville,Washington,United States,Credit Card,Wednesday,11:00
Carla Gray,gabriellecameron@example.org,Portrait (Studio),2024-06-30,361.87,New Cynthiaside,Massachusetts,United States,Cash,Friday,15:00
Thomas Bradley,jason76@example.net,Wedding,2024-09-22,3438.17,Port Leslieview,Manitoba,Canada,PayPal,Saturday,17:00
Nicole Patterson,icox@example.net,Headshot,2024-10-05,117.39,Donaldside,Georgia,United States,Credit Card,Tuesday,15:00
Jennifer Brown,dcarlson@example.net,Event,2024-07-09,550.18,Port Danielburgh,British Columbia,Canada,PayPal,Saturday,12:00
Patricia Peterson,ryan70@example.net,Headshot,2025-02-22,166.74,Lake Jenniferside,Missouri,United States,PayPal,Monday,17:00
Ashley Garrett,ericfarmer@example.net,Engagement,2025-03-22,338.68,Teresaburgh,New Jersey,United States,Credit Card,Wednesday,17:00
Jack Galloway,john39@example.org,Engagement,2024-05-09,446.54,New Mariotown,Ontario,Canada,PayPal,Wednesday,15:00
Betty Alvarez,josephbrennan@example.com,Real Estate,2025-03-26,453.02,Cabreraside,Alberta,Canada,Cash,Wednesday,09:30
Marie Kim DDS,wrightcaleb@example.org,Engagement,2024-11-09,279.46,Lake Larry,Saskatchewan,Canada,Cash,Tuesday,17:00
Mark Perez,heathchad@example.org,Real Estate,2024-07-18,271.77,New Jeffrey,Ontario,Canada,Credit Card,Tuesday,09:30
Sonya Johnston,kristenaguirre@example.org,Product,2024-05-12,199.34,Lewisberg,Manitoba,Canada,Credit Card,Tuesday,14:00
Nicholas Nunez,brownjessica@example.org,Event,2024-07-08,643.46,Gomezchester,Manitoba,Canada,Credit Card,Sunday,19:00
Donald Wright,ramosmichelle@example.net,Headshot,2024-05-13,280.18,New Shane,Ontario,Canada,e-Transfer,Friday,15:00
John Lewis,kbarrera@example.com,Event,2024-04-08,442.34,North Sarabury,Manitoba,Canada,PayPal,Thursday,19:00
Michael Cross,smoore@example.org,Real Estate,2025-03-28,466.8,Bakermouth,Illinois,United States,Venmo,Wednesday,13:30
Kathryn Farrell,brianromero@example.org,Product,2024-05-03,222.7,Lake Leeton,Alberta,Canada,Credit Card,Friday,10:00
Steve Sanchez,harveyrobert@example.net,Wedding,2024-10-31,3336.93,Lake Michellefurt,Texas,United States,PayPal,Friday,17:00
Emily Baker,emilyevans@example.com,Real Estate,2025-03-14,479.84,Sarahborough,Nova Scotia,Canada,Credit Card,Monday,13:30
Angel Lewis MD,nicole35@example.com,Product,2024-06-04,389.72,North Stephenshire,Manitoba,Canada,PayPal,Tuesday,10:00
Robert Evans,mcmillandennis@example.org,Portrait (Studio),2025-02-27,281.92,Cherylhaven,Missouri,United States,PayPal,Friday,15:00
Grant Watts,william40@example.org,Headshot,2024-11-26,177.93,West Juan,Ontario,Canada,PayPal,Wednesday,15:00
Mandy Green,barnold@example.net,Engagement,2024-04-11,219.21,Bradleymouth,Maryland,United States,PayPal,Monday,17:00
Jacob Tran,tanderson@example.com,Wedding,2025-03-03,1363.28,Lake Rebeccaside,Texas,United States,Venmo,Saturday,14:00
Heather Castro,vdickson@example.org,Wedding,2025-03-12,2382.56,West Jasonbury,Missouri,United States,PayPal,Saturday,19:00
Cassandra Gutierrez,jillcook@example.com,Headshot,2025-01-26,333.88,Port Francisco,Quebec,Canada,Cash,Friday,17:00
Janet Williams,dwalker@example.com,Product,2024-07-28,333.18,West Erik,British Columbia,Canada,Cash,Monday,10:00
Garrett Lin,michael86@example.net,Event,2025-04-02,720.32,East Andrew,Texas,United States,e-Transfer,Thursday,19:00
Debbie Carpenter,benjamin96@example.com,Headshot,2024-12-30,184.83,Sheilaville,Ohio,United States,Cash,Monday,11:00
Steven Lee,fletcheraaron@example.net,Event,2024-12-15,426.16,Samuelhaven,Quebec,Canada,Credit Card,Friday,15:00
Tammie Hanson,cortezkevin@example.com,Event,2024-12-08,1027.22,West Ryan,Florida,United States,PayPal,Thursday,12:00
Cheryl Ortega,lbyrd@example.net,Engagement,2024-11-02,321.92,Richardport,Ontario,Canada,PayPal,Thursday,11:00
Daniel Floyd,steven73@example.net,Event,2024-09-28,301.94,Kelleytown,British Columbia,Canada,Cash,Sunday,15:00
Mackenzie Rogers,emilywalker@example.org,Headshot,2024-05-31,339.33,Lake Christopher,Quebec,Canada,PayPal,Friday,17:00
Stephen Johnston,psnyder@example.org,Portrait (Studio),2024-12-04,204.43,East Traceyland,New Jersey,United States,Credit Card,Monday,17:00
Colleen Brock,pwilliams@example.org,Wedding,2024-09-22,2543.61,Port Michelleville,Indiana,United States,Credit Card,Saturday,14:00
Tiffany Vance,jrivas@example.com,Product,2025-03-02,233.62,Contrerasside,Washington,United States,Credit Card,Friday,10:00
Destiny Strickland,rsims@example.com,Real Estate,2024-05-06,213.56,Colebury,Arizona,United States,Cash,Friday,09:30
