Customer Name,Email,Photo Type,Purchase Date,Month,Price USD,Country,Payment Method,Referral Source,Customer Segment
Donald Walker,rhodespatricia@example.org,Event,2024-11-28,2024-11,322.51,Canada,PayPal,Instagram,New Customer
Brandon Hall,hoffmanjennifer@example.net,Wedding,2024-11-10,2024-11,2611.0,United States,Apple Pay,Referral,New Customer
Kevin Pacheco,blakeerik@example.com,Wedding,2024-10-24,2024-10,1848.99,United States,Apple Pay,Instagram,Business Client
Tyler Rogers,jamesmichael@example.com,Event,2024-08-10,2024-08,677.57,Canada,Apple Pay,Facebook,Business Client
Monica Herrera,smiller@example.net,Wedding,2024-11-14,2024-11,2708.73,Canada,Bank Transfer,Facebook,New Customer
Laura Bush,stanleykendra@example.org,Stock Photo License,2024-11-20,2024-11,41.83,United States,Cash,Google Search,New Customer
Jamie Chavez,francisco53@example.net,Portrait,2025-02-15,2025-02,216.13,United States,Cash,Direct Visit,New Customer
Maria Lynch,amandasanchez@example.com,Product,2024-07-14,2024-07,247.28,Canada,Apple Pay,Facebook,Returning Customer
Margaret Hawkins DDS,perezantonio@example.com,Event,2024-08-24,2024-08,341.24,United States,Bank Transfer,Google Search,Business Client
Thomas Bradley,jason76@example.net,Product,2024-09-01,2024-09,428.08,Canada,Bank Transfer,Instagram,New Customer
David Hoffman,julie69@example.com,Wedding,2024-09-22,2024-09,1900.47,United States,Apple Pay,Email Campaign,New Customer
Brenda Snyder PhD,hernandezernest@example.net,Event,2024-08-18,2024-08,447.06,Canada,Bank Transfer,Email Campaign,Returning Customer
James Ferrell,tasha01@example.net,Wedding,2024-09-09,2024-09,1986.42,United States,PayPal,Google Search,Business Client
Patricia Peterson,ryan70@example.net,Portrait,2025-02-25,2025-02,166.55,Canada,PayPal,Email Campaign,New Customer
Jonathan White,harrellkenneth@example.net,Product,2025-02-22,2025-02,585.71,United States,Bank Transfer,Instagram,New Customer
James Martin,georgetracy@example.org,Event,2024-10-10,2024-10,536.47,Canada,Apple Pay,Referral,New Customer
Sandra Parker,allenashley@example.org,Stock Photo License,2025-03-14,2025-03,31.92,Canada,Credit Card,Google Search,Business Client
Mr. Philip Cannon,donnaarroyo@example.org,Wedding,2024-05-09,2024-05,1739.97,Canada,Apple Pay,Google Search,New Customer
Jenny Lewis,jenniferross@example.net,Event,2024-07-14,2024-07,721.24,Canada,Apple Pay,Google Search,Returning Customer
Joseph Martinez,calebsmith@example.net,Wedding,2024-12-01,2024-12,2827.18,Canada,Bank Transfer,Google Search,New Customer
Benjamin Welch,carlosjohnson@example.com,Wedding,2024-07-01,2024-07,1504.87,Canada,Apple Pay,Instagram,Returning Customer
Michael Lewis,jenniferkhan@example.net,Wedding,2024-05-03,2024-05,2437.95,United States,PayPal,Facebook,Business Client
Rhonda Lee,hopkinsmichael@example.com,Portrait,2024-09-27,2024-09,344.66,United States,Apple Pay,Facebook,New Customer
Megan Joyce,brownjessica@example.org,Wedding,2024-09-25,2024-09,2044.47,Canada,PayPal,Google Search,New Customer
Jerry Henderson,steven17@example.net,Event,2024-07-08,2024-07,370.88,Canada,Credit Card,Direct Visit,Business Client
Kimberly Smith,housemelinda@example.org,Wedding,2024-05-13,2024-05,2212.92,United States,Bank Transfer,Direct Visit,Business Client
Dr. Steven Martin,gallowayjoseph@example.com,Portrait,2024-09-03,2024-09,202.95,United States,Bank Transfer,Referral,Occasional Buyer
Monica Logan,smoore@example.org,Event,2024-07-21,2024-07,694.29,Canada,Credit Card,Instagram,New Customer
Kimberly Adkins,williamsthomas@example.net,Portrait,2025-03-28,2025-03,297.08,United States,Apple Pay,Instagram,New Customer
Angela Lopez,leonardjoe@example.org,Event,2024-06-04,2024-06,352.99,United States,Credit Card,Facebook,New Customer
Lauren Williams,barnesbrandy@example.net,Wedding,2025-03-18,2025-03,2503.47,United States,Apple Pay,Instagram,Business Client
Michael Edwards,randy47@example.com,Product,2024-08-01,2024-08,545.73,United States,Cash,Referral,New Customer
Alexandra Howell,jonesjason@example.com,Wedding,2025-03-14,2025-03,2146.58,Canada,Cash,Referral,Business Client
Benjamin Sanchez,eric84@example.net,Wedding,2024-05-26,2024-05,2480.18,United States,Credit Card,Referral,Business Client
Kendra Contreras,sarah12@example.com,Real Estate,2025-04-03,2025-04,154.63,United States,PayPal,Direct Visit,New Customer
Juan Nelson,jenniferharris@example.net,Portrait,2024-05-20,2024-05,219.64,United States,Credit Card,Referral,Business Client
Danielle Odonnell,davisrodney@example.com,Product,2025-02-14,2025-02,258.75,United States,Credit Card,Instagram,New Customer
Carlos Whitney,joycearnold@example.com,Portrait,2024-04-24,2024-04,203.44,Canada,Credit Card,Instagram,New Customer
Tony Vazquez,amydavenport@example.net,Stock Photo License,2024-10-30,2024-10,38.26,Canada,Bank Transfer,Referral,Returning Customer
Andrew Diaz,nolanjason@example.org,Event,2024-10-27,2024-10,1005.03,Canada,PayPal,Instagram,New Customer
Justin Baxter,sarayoung@example.org,Stock Photo License,2024-12-08,2024-12,53.96,United States,Bank Transfer,Google Search,New Customer
Sierra Johnson,kimberly63@example.com,Portrait,2025-03-31,2025-03,379.85,United States,Credit Card,Direct Visit,New Customer
Janet Williams,dwalker@example.com,Wedding,2024-06-05,2024-06,2392.55,United States,Cash,Google Search,Occasional Buyer
Crystal Johnson,raymondramirez@example.org,Event,2024-07-28,2024-07,821.03,United States,Apple Pay,Google Search,New Customer
Martin Ross,sheila14@example.org,Event,2025-03-27,2025-03,770.5,Canada,PayPal,Email Campaign,Business Client
Mrs. Linda Reed,samuel81@example.com,Wedding,2024-11-06,2024-11,2093.68,Canada,Cash,Facebook,Occasional Buyer
Andrew Graham,michaeljones@example.net,Product,2025-03-03,2025-03,205.59,United States,Credit Card,Direct Visit,New Customer
Mary Martinez,william65@example.com,Wedding,2025-03-11,2025-03,2899.89,United States,PayPal,Facebook,New Customer
Cheryl Ortega,lbyrd@example.net,Portrait,2024-12-19,2024-12,285.8,Canada,Apple Pay,Email Campaign,Returning Customer
Roy Torres,russellcarpenter@example.net,Event,2024-11-02,2024-11,799.14,United States,PayPal,Facebook,New Customer
Michael Dixon,donnacampbell@example.net,Wedding,2024-08-03,2024-08,2329.84,Canada,Bank Transfer,Direct Visit,New Customer
Robert Potter,jeffrey32@example.org,Portrait,2024-11-25,2024-11,321.87,Canada,Apple Pay,Referral,New Customer
Miss Patricia Gibson,jennifercruz@example.com,Product,2024-04-24,2024-04,230.48,Canada,Bank Transfer,Google Search,New Customer
Abigail Potter,osbornejeffery@example.net,Real Estate,2024-07-06,2024-07,418.56,Canada,PayPal,Email Campaign,New Customer
David Charles,danderson@example.net,Event,2024-10-14,2024-10,804.82,United States,Credit Card,Email Campaign,Occasional Buyer
Emily Fischer,usalazar@example.net,Portrait,2024-10-19,2024-10,358.65,United States,Cash,Instagram,New Customer
Jill Moore,wcole@example.org,Portrait,2024-09-11,2024-09,383.27,United States,Bank Transfer,Instagram,Returning Customer
Richard Washington,joshuajones@example.com,Event,2025-02-09,2025-02,618.31,Canada,Apple Pay,Email Campaign,New Customer
Steven Miller,jessebenson@example.net,Product,2024-07-02,2024-07,718.76,United States,Cash,Google Search,New Customer
Gary Owens,clarkrobert@example.net,Product,2024-06-25,2024-06,669.43,Canada,PayPal,Facebook,New Customer
Spencer Johnston,wsmith@example.com,Event,2025-03-20,2025-03,644.29,United States,Cash,Instagram,New Customer
Tiffany Barnes,tracynelson@example.com,Product,2025-01-08,2025-01,409.8,United States,PayPal,Google Search,Returning Customer
