Customer Name,Email,Photo Type,Purchase Date,Month,City,Region,Country,Price USD,Payment Method,Referral Source,Customer Segment
Donald Walker,rhodespatricia@example.org,Stock Photo License,2024-11-28,2024-11,Orlando,Florida,United States,51.86,Cash,Referral,New Customer
Brandon Hall,hoffmanjennifer@example.net,Portrait,2024-11-10,2024-11,Quebec City,Quebec,Canada,200.95,PayPal,Facebook,New Customer
Kevin Pacheco,blakeerik@example.com,Portrait,2024-10-24,2024-10,Los Angeles,California,United States,292.16,Bank Transfer,Referral,Business Client
Tyler Rogers,jamesmichael@example.com,Wedding,2024-08-10,2024-08,Buffalo,New York,United States,2919.6,Apple Pay,Direct Visit,New Customer
Monica Herrera,smiller@example.net,Event,2024-11-14,2024-11,Buffalo,New York,United States,714.1,Apple Pay,Direct Visit,New Customer
Laura Bush,stanleykendra@example.org,Product,2024-11-20,2024-11,Chicago,Illinois,United States,782.68,Apple Pay,Referral,New Customer
Jamie Chavez,francisco53@example.net,Portrait,2025-02-15,2025-02,Fredericton,New Brunswick,Canada,200.85,Apple Pay,Instagram,New Customer
Maria Lynch,amandasanchez@example.com,Wedding,2024-07-14,2024-07,Albany,New York,United States,2758.49,Apple Pay,Google Search,Returning Customer
Margaret Hawkins DDS,perezantonio@example.com,Wedding,2024-08-24,2024-08,San Diego,California,United States,2152.94,Apple Pay,Google Search,Business Client
Thomas Bradley,jason76@example.net,Wedding,2024-09-01,2024-09,Victoria,British Columbia,Canada,2892.06,PayPal,Facebook,Occasional Buyer
David Hoffman,julie69@example.com,Event,2024-09-22,2024-09,Little Rock,Arkansas,United States,824.59,PayPal,Google Search,Business Client
Brenda Snyder PhD,hernandezernest@example.net,Wedding,2024-08-18,2024-08,New York City,New York,United States,2365.91,Cash,Instagram,New Customer
James Ferrell,tasha01@example.net,Wedding,2024-09-09,2024-09,Edmonton,Alberta,Canada,1874.19,Bank Transfer,Email Campaign,New Customer
Patricia Peterson,ryan70@example.net,Portrait,2025-02-25,2025-02,Los Angeles,California,United States,191.7,Credit Card,Facebook,New Customer
Jonathan White,harrellkenneth@example.net,Event,2025-02-22,2025-02,Boise,Idaho,United States,331.36,Credit Card,Direct Visit,Occasional Buyer
James Martin,georgetracy@example.org,Event,2024-10-10,2024-10,Kansas City,Missouri,United States,494.34,Cash,Referral,Business Client
Sandra Parker,allenashley@example.org,Real Estate,2025-03-14,2025-03,Tampa,Florida,United States,262.77,Bank Transfer,Google Search,Business Client
Mr. Philip Cannon,donnaarroyo@example.org,Event,2024-05-09,2024-05,Austin,Texas,United States,427.22,Apple Pay,Direct Visit,New Customer
Jenny Lewis,jenniferross@example.net,Event,2024-07-14,2024-07,Cambridge,Massachusetts,United States,1369.73,Credit Card,Google Search,New Customer
Joseph Martinez,calebsmith@example.net,Event,2024-12-01,2024-12,Cambridge,Massachusetts,United States,460.75,Credit Card,Email Campaign,Business Client
Benjamin Welch,carlosjohnson@example.com,Wedding,2024-07-01,2024-07,Austin,Texas,United States,2700.09,Credit Card,Referral,Returning Customer
Michael Lewis,jenniferkhan@example.net,Wedding,2024-05-03,2024-05,Boise,Idaho,United States,1381.74,Cash,Facebook,Occasional Buyer
Rhonda Lee,hopkinsmichael@example.com,Stock Photo License,2024-09-27,2024-09,Cambridge,Massachusetts,United States,31.82,PayPal,Email Campaign,New Customer
Megan Joyce,brownjessica@example.org,Wedding,2024-09-25,2024-09,Albany,New York,United States,2421.47,PayPal,Instagram,Returning Customer
Jerry Henderson,steven17@example.net,Wedding,2024-07-08,2024-07,Kansas City,Missouri,United States,1444.15,Cash,Google Search,Business Client
Kimberly Smith,housemelinda@example.org,Stock Photo License,2024-05-13,2024-05,Los Angeles,California,United States,69.66,Bank Transfer,Direct Visit,New Customer
Dr. Steven Martin,gallowayjoseph@example.com,Real Estate,2024-09-03,2024-09,Dallas,Texas,United States,378.25,Credit Card,Instagram,Returning Customer
Monica Logan,smoore@example.org,Product,2024-07-21,2024-07,St. Louis,Missouri,United States,583.81,Bank Transfer,Email Campaign,Occasional Buyer
Kimberly Adkins,williamsthomas@example.net,Event,2025-03-28,2025-03,Fredericton,New Brunswick,Canada,367.78,Apple Pay,Referral,New Customer
Angela Lopez,leonardjoe@example.org,Wedding,2024-06-04,2024-06,Chicago,Illinois,United States,2902.95,PayPal,Facebook,New Customer
Lauren Williams,barnesbrandy@example.net,Product,2025-03-18,2025-03,Fredericton,New Brunswick,Canada,304.38,Cash,Email Campaign,Occasional Buyer
Michael Edwards,randy47@example.com,Wedding,2024-08-01,2024-08,Toronto,Ontario,Canada,1950.18,Apple Pay,Email Campaign,Returning Customer
Alexandra Howell,jonesjason@example.com,Wedding,2025-03-14,2025-03,Cambridge,Massachusetts,United States,1968.78,Cash,Facebook,Returning Customer
Benjamin Sanchez,eric84@example.net,Portrait,2024-05-26,2024-05,Houston,Texas,United States,273.03,Apple Pay,Direct Visit,New Customer
Kendra Contreras,sarah12@example.com,Event,2025-04-03,2025-04,Edmonton,Alberta,Canada,1120.19,Apple Pay,Direct Visit,Business Client
Juan Nelson,jenniferharris@example.net,Portrait,2024-05-20,2024-05,Boston,Massachusetts,United States,218.39,PayPal,Direct Visit,New Customer
Danielle Odonnell,davisrodney@example.com,Product,2025-02-14,2025-02,Albany,New York,United States,640.33,Credit Card,Facebook,New Customer
Carlos Whitney,joycearnold@example.com,Real Estate,2024-04-24,2024-04,Seattle,Washington,United States,489.24,PayPal,Direct Visit,New Customer
Tony Vazquez,amydavenport@example.net,Event,2024-10-30,2024-10,Springfield,Illinois,United States,804.11,Apple Pay,Facebook,New Customer
Andrew Diaz,nolanjason@example.org,Portrait,2024-10-27,2024-10,Buffalo,New York,United States,349.01,Credit Card,Facebook,New Customer
Justin Baxter,sarayoung@example.org,Event,2024-12-08,2024-12,Boise,Idaho,United States,930.27,Cash,Referral,New Customer
Sierra Johnson,kimberly63@example.com,Event,2025-03-31,2025-03,Little Rock,Arkansas,United States,351.47,Cash,Referral,New Customer
Janet Williams,dwalker@example.com,Real Estate,2024-06-05,2024-06,Idaho Falls,Idaho,United States,309.71,Cash,Facebook,New Customer
Crystal Johnson,raymondramirez@example.org,Portrait,2024-07-28,2024-07,Little Rock,Arkansas,United States,268.5,Apple Pay,Email Campaign,New Customer
Martin Ross,sheila14@example.org,Event,2025-03-27,2025-03,Halifax,Nova Scotia,Canada,944.32,Credit Card,Direct Visit,New Customer
Mrs. Linda Reed,samuel81@example.com,Portrait,2024-11-06,2024-11,Miami,Florida,United States,277.49,Bank Transfer,Referral,Returning Customer
Andrew Graham,michaeljones@example.net,Product,2025-03-03,2025-03,Cambridge,Massachusetts,United States,700.18,Apple Pay,Google Search,Returning Customer
Mary Martinez,william65@example.com,Portrait,2025-03-11,2025-03,St. Louis,Missouri,United States,184.62,Bank Transfer,Direct Visit,New Customer
Cheryl Ortega,lbyrd@example.net,Wedding,2024-12-19,2024-12,St. Louis,Missouri,United States,1730.7,PayPal,Google Search,Occasional Buyer
Roy Torres,russellcarpenter@example.net,Event,2024-11-02,2024-11,Kansas City,Missouri,United States,376.36,Apple Pay,Email Campaign,Returning Customer
Michael Dixon,donnacampbell@example.net,Wedding,2024-08-03,2024-08,Spokane,Washington,United States,3034.5,Bank Transfer,Direct Visit,New Customer
Robert Potter,jeffrey32@example.org,Portrait,2024-11-25,2024-11,Victoria,British Columbia,Canada,408.18,Credit Card,Direct Visit,Returning Customer
Miss Patricia Gibson,jennifercruz@example.com,Wedding,2024-04-24,2024-04,St. Louis,Missouri,United States,1792.98,Bank Transfer,Google Search,Business Client
Abigail Potter,osbornejeffery@example.net,Product,2024-07-06,2024-07,Quebec City,Quebec,Canada,566.83,Cash,Direct Visit,Returning Customer
David Charles,danderson@example.net,Event,2024-10-14,2024-10,Los Angeles,California,United States,583.07,Apple Pay,Instagram,New Customer
Emily Fischer,usalazar@example.net,Wedding,2024-10-19,2024-10,Miami,Florida,United States,2604.61,Apple Pay,Referral,Returning Customer
Jill Moore,wcole@example.org,Wedding,2024-09-11,2024-09,Chicago,Illinois,United States,1921.15,Apple Pay,Email Campaign,New Customer
Richard Washington,joshuajones@example.com,Portrait,2025-02-09,2025-02,Halifax,Nova Scotia,Canada,214.67,Credit Card,Direct Visit,Returning Customer
Steven Miller,jessebenson@example.net,Stock Photo License,2024-07-02,2024-07,Montreal,Quebec,Canada,65.22,Apple Pay,Google Search,New Customer
Gary Owens,clarkrobert@example.net,Event,2024-06-25,2024-06,Victoria,British Columbia,Canada,437.75,Bank Transfer,Instagram,New Customer
Spencer Johnston,wsmith@example.com,Portrait,2025-03-20,2025-03,Idaho Falls,Idaho,United States,286.21,Credit Card,Facebook,New Customer
Tiffany Barnes,tracynelson@example.com,Wedding,2025-01-08,2025-01,San Francisco,California,United States,2077.63,Cash,Google Search,Returning Customer
Michael Powell,marycalhoun@example.net,Event,2024-04-18,2024-04,Springfield,Illinois,United States,424.01,PayPal,Google Search,Returning Customer
Leslie Alvarado,dayderek@example.com,Event,2024-10-20,2024-10,Cambridge,Massachusetts,United States,428.0,Apple Pay,Email Campaign,New Customer
Garrett Gibson,kathleen64@example.com,Portrait,2024-06-13,2024-06,Kansas City,Missouri,United States,260.64,PayPal,Direct Visit,New Customer
Alec Ryan,jeffrey10@example.org,Stock Photo License,2024-07-09,2024-07,Buffalo,New York,United States,73.36,PayPal,Direct Visit,New Customer
Alex Hernandez,thomaswilson@example.org,Portrait,2025-03-21,2025-03,Spokane,Washington,United States,276.01,PayPal,Google Search,Occasional Buyer
Jacob Obrien,stricklandfrank@example.com,Wedding,2024-09-25,2024-09,Cambridge,Massachusetts,United States,2893.21,Cash,Referral,Returning Customer
Eric Byrd,tsanders@example.org,Portrait,2024-05-17,2024-05,Boston,Massachusetts,United States,362.86,Credit Card,Referral,Business Client
Lori Garcia,melissa91@example.net,Event,2024-05-05,2024-05,Little Rock,Arkansas,United States,304.48,Cash,Facebook,New Customer
Jeffrey Wood,alexander67@example.org,Wedding,2025-01-19,2025-01,Springfield,Illinois,United States,1960.23,PayPal,Facebook,New Customer
Steven Stevens,ryangross@example.net,Portrait,2024-09-13,2024-09,Chicago,Illinois,United States,318.24,PayPal,Direct Visit,Business Client
Kimberly Webb,lpetersen@example.com,Wedding,2024-07-15,2024-07,Little Rock,Arkansas,United States,1842.3,Bank Transfer,Referral,Business Client
Timothy Ramirez,dsanchez@example.net,Wedding,2024-08-03,2024-08,San Francisco,California,United States,2387.06,Apple Pay,Facebook,Returning Customer
Allen Rosales,tonykelly@example.com,Stock Photo License,2024-11-17,2024-11,Chicago,Illinois,United States,46.6,Cash,Email Campaign,New Customer
Meredith Hill,blackjames@example.org,Stock Photo License,2024-08-10,2024-08,Boston,Massachusetts,United States,73.56,Apple Pay,Facebook,Business Client
Peter Vaughn DDS,bwest@example.org,Portrait,2024-12-27,2024-12,Ottawa,Ontario,Canada,464.84,PayPal,Facebook,Business Client
David Beck,thomas85@example.com,Portrait,2024-07-24,2024-07,Kansas City,Missouri,United States,338.75,Credit Card,Google Search,New Customer
Heather Chavez,john13@example.com,Portrait,2025-04-07,2025-04,Springfield,Illinois,United States,207.18,Bank Transfer,Direct Visit,Occasional Buyer
Pamela Lopez,joannahill@example.net,Wedding,2024-05-21,2024-05,Albany,New York,United States,2765.81,PayPal,Instagram,New Customer
Diane Garcia,kennethward@example.com,Portrait,2025-03-31,2025-03,Idaho Falls,Idaho,United States,149.57,Bank Transfer,Facebook,Returning Customer
Denise Mccann,heidi27@example.org,Wedding,2024-04-13,2024-04,Spokane,Washington,United States,2761.14,Bank Transfer,Referral,New Customer
Julie Alexander,tammyking@example.com,Product,2025-02-21,2025-02,Houston,Texas,United States,521.84,Bank Transfer,Facebook,Returning Customer
John Ray,hernandezlisa@example.com,Portrait,2024-05-19,2024-05,Winnipeg,Manitoba,Canada,254.53,Cash,Facebook,Occasional Buyer
Justin Butler,kimberlyjames@example.com,Wedding,2024-05-09,2024-05,Cambridge,Massachusetts,United States,3217.34,Apple Pay,Facebook,Returning Customer
Jessica Carroll,lynchjody@example.org,Wedding,2024-07-25,2024-07,Orlando,Florida,United States,1820.11,Bank Transfer,Referral,New Customer
Brad Allen,moorericky@example.net,Portrait,2024-11-22,2024-11,Buffalo,New York,United States,357.88,Cash,Email Campaign,Business Client
David Mann,ojones@example.com,Event,2024-11-11,2024-11,Spokane,Washington,United States,1231.16,PayPal,Facebook,New Customer
Mary Peck,owilson@example.net,Stock Photo License,2025-01-21,2025-01,Kansas City,Missouri,United States,43.27,PayPal,Referral,Occasional Buyer
Charles Brown,brooke94@example.com,Wedding,2024-06-01,2024-06,Boston,Massachusetts,United States,1845.72,Apple Pay,Referral,New Customer
Melissa Bender,mkim@example.org,Event,2024-05-23,2024-05,St. Louis,Missouri,United States,285.07,Credit Card,Referral,Business Client
Lindsey Johnson,suzannehuff@example.net,Event,2025-02-27,2025-02,Quebec City,Quebec,Canada,739.99,Cash,Email Campaign,Returning Customer
Phillip Underwood,hinesgregory@example.net,Event,2024-11-08,2024-11,Edmonton,Alberta,Canada,658.08,PayPal,Google Search,Business Client
Catherine Richards,ecosta@example.com,Portrait,2024-12-02,2024-12,Tampa,Florida,United States,347.87,Apple Pay,Referral,New Customer
Brian Martin,ssteele@example.net,Real Estate,2024-09-04,2024-09,St. Louis,Missouri,United States,291.89,PayPal,Facebook,Business Client
Krista Gibson,johnny16@example.net,Wedding,2025-03-19,2025-03,Winnipeg,Manitoba,Canada,1348.69,PayPal,Instagram,Returning Customer
Sean Murray,lopezmichael@example.com,Wedding,2025-02-03,2025-02,New York City,New York,United States,2421.73,Credit Card,Instagram,Returning Customer
Christina Dunn,samuel71@example.org,Event,2024-11-22,2024-11,Miami,Florida,United States,1119.7,Bank Transfer,Instagram,New Customer
Cynthia Moore,tranchristopher@example.org,Portrait,2025-03-30,2025-03,Little Rock,Arkansas,United States,308.35,PayPal,Facebook,New Customer
Ronnie Jimenez,william46@example.com,Portrait,2024-09-23,2024-09,Halifax,Nova Scotia,Canada,301.79,Credit Card,Email Campaign,New Customer
Juan Reyes,michellehill@example.com,Event,2025-04-01,2025-04,Vancouver,British Columbia,Canada,1347.31,PayPal,Facebook,Business Client
Debra Smith,mary97@example.org,Portrait,2024-08-10,2024-08,St. Louis,Missouri,United States,132.86,PayPal,Facebook,New Customer
Mr. Phillip Bennett,molly39@example.com,Product,2024-09-18,2024-09,Montreal,Quebec,Canada,482.53,Apple Pay,Facebook,Business Client
Amanda Garner,qhughes@example.net,Portrait,2024-07-02,2024-07,Victoria,British Columbia,Canada,354.98,Credit Card,Instagram,Returning Customer
Andrew Shaw MD,sawyerscott@example.net,Wedding,2025-04-01,2025-04,Fredericton,New Brunswick,Canada,2073.94,PayPal,Facebook,Business Client
Charles Pitts,charlesharrington@example.com,Event,2025-03-07,2025-03,Toronto,Ontario,Canada,1212.9,Apple Pay,Direct Visit,Business Client
Marie Christian,ofinley@example.net,Portrait,2024-08-09,2024-08,Kansas City,Missouri,United States,288.63,Bank Transfer,Referral,Occasional Buyer
Joshua Williamson II,wendy16@example.org,Product,2025-02-26,2025-02,Springfield,Illinois,United States,620.04,PayPal,Facebook,Returning Customer
Ashlee Jackson,rebecca05@example.org,Wedding,2025-01-11,2025-01,Chicago,Illinois,United States,1646.33,Apple Pay,Email Campaign,Business Client
Charles Schmidt,georgemiller@example.com,Wedding,2024-07-24,2024-07,Calgary,Alberta,Canada,2882.05,PayPal,Direct Visit,Occasional Buyer
Thomas Thomas,dlittle@example.com,Wedding,2024-11-20,2024-11,Houston,Texas,United States,2738.29,Apple Pay,Google Search,Returning Customer
Julie Roberts,charleslandry@example.net,Real Estate,2024-12-08,2024-12,Cambridge,Massachusetts,United States,442.24,Bank Transfer,Referral,Occasional Buyer
Melissa Bryant,james67@example.org,Wedding,2024-07-26,2024-07,Houston,Texas,United States,1611.75,Apple Pay,Instagram,New Customer
Laura Haney,andrew64@example.org,Wedding,2024-07-03,2024-07,Los Angeles,California,United States,2597.24,Apple Pay,Instagram,Occasional Buyer
Natasha Williams,swall@example.org,Portrait,2024-11-01,2024-11,San Diego,California,United States,413.32,Bank Transfer,Referral,Occasional Buyer
Mark Oliver,courtneyberger@example.net,Stock Photo License,2024-11-16,2024-11,Little Rock,Arkansas,United States,49.36,Cash,Referral,New Customer
Amanda Diaz,christopherphillips@example.net,Wedding,2024-04-22,2024-04,Spokane,Washington,United States,2886.66,Credit Card,Referral,New Customer
Richard Walter,alyssa42@example.com,Portrait,2024-09-07,2024-09,Albany,New York,United States,467.54,Cash,Instagram,New Customer
Tracy Phillips,linda71@example.org,Event,2025-03-08,2025-03,Idaho Falls,Idaho,United States,757.43,Credit Card,Direct Visit,New Customer
Michael Craig,zcoffey@example.net,Product,2025-01-09,2025-01,Los Angeles,California,United States,723.32,Cash,Facebook,Returning Customer
Alexis Herrera,vrichardson@example.net,Portrait,2024-08-19,2024-08,Edmonton,Alberta,Canada,177.3,Apple Pay,Google Search,New Customer
Mark Watson,thomasharvey@example.net,Event,2024-07-12,2024-07,Tampa,Florida,United States,648.21,Bank Transfer,Direct Visit,New Customer
Maria Reid,tblankenship@example.net,Wedding,2024-08-06,2024-08,Seattle,Washington,United States,2035.24,Credit Card,Email Campaign,Occasional Buyer
Tracy Torres,pwilson@example.net,Event,2024-09-04,2024-09,Los Angeles,California,United States,1156.38,Bank Transfer,Direct Visit,Returning Customer
Michael Paul,umatthews@example.org,Event,2024-05-27,2024-05,Boise,Idaho,United States,610.38,Credit Card,Referral,New Customer
Sandra Gilbert,antonio53@example.com,Wedding,2025-02-26,2025-02,St. Louis,Missouri,United States,1592.43,Cash,Email Campaign,New Customer
Jack Pollard,amy50@example.com,Real Estate,2024-09-17,2024-09,Victoria,British Columbia,Canada,204.36,Credit Card,Referral,Returning Customer
Tiffany Holloway,batesdarlene@example.net,Portrait,2024-07-17,2024-07,Ottawa,Ontario,Canada,262.91,Credit Card,Instagram,Business Client
Gavin Zhang,caseyhubbard@example.org,Real Estate,2025-03-29,2025-03,Vancouver,British Columbia,Canada,340.84,PayPal,Direct Visit,Business Client
