Customer Name,Email,Photo Type,Purchase Date,Month,City,Region,Country,Price USD,Payment Method,Referral Source,Customer Segment,Shoot Day,Shoot Time
Donald Walker,rhodespatricia@example.org,Wedding,2024-11-28,2024-11,Fredericton,New Brunswick,Canada,2173.03,Bank Transfer,Facebook,New Customer,Saturday,17:00
Brandon Hall,hoffmanjennifer@example.net,Event,2024-11-10,2024-11,Cambridge,Massachusetts,United States,1158.14,Apple Pay,Referral,Business Client,Friday,19:00
Kevin Pacheco,blakeerik@example.com,Portrait,2024-10-24,2024-10,Miami,Florida,United States,269.92,Credit Card,Email Campaign,New Customer,Friday,18:30
Tyler Rogers,jamesmichael@example.com,Wedding,2024-08-10,2024-08,Winnipeg,Manitoba,Canada,2533.33,Credit Card,Google Search,Returning Customer,Saturday,11:00
Monica Herrera,smiller@example.net,Product,2024-11-14,2024-11,Kansas City,Missouri,United States,226.63,Credit Card,Facebook,Occasional Buyer,Tuesday,14:00
Laura Bush,stanleykendra@example.org,Event,2024-11-20,2024-11,Houston,Texas,United States,816.68,PayPal,Facebook,Returning Customer,Thursday,15:00
Jamie Chavez,francisco53@example.net,Event,2025-02-15,2025-02,Edmonton,Alberta,Canada,426.42,Bank Transfer,Facebook,Occasional Buyer,Thursday,19:00
Maria Lynch,amandasanchez@example.com,Portrait,2024-07-14,2024-07,Miami,Florida,United States,206.92,PayPal,Email Campaign,Occasional Buyer,Wednesday,16:30
Margaret Hawkins DDS,perezantonio@example.com,Wedding,2024-08-24,2024-08,Little Rock,Arkansas,United States,2093.86,Credit Card,Direct Visit,New Customer,Saturday,19:00
Thomas Bradley,jason76@example.net,Event,2024-09-01,2024-09,Calgary,Alberta,Canada,1196.09,Cash,Facebook,Returning Customer,Saturday,19:00
David Hoffman,julie69@example.com,Wedding,2024-09-22,2024-09,Albany,New York,United States,2804.93,Apple Pay,Google Search,Returning Customer,Saturday,14:00
Brenda Snyder PhD,hernandezernest@example.net,Real Estate,2024-08-18,2024-08,Miami,Florida,United States,315.47,Cash,Email Campaign,New Customer,Wednesday,11:00
James Ferrell,tasha01@example.net,Event,2024-09-09,2024-09,Austin,Texas,United States,708.64,Cash,Direct Visit,New Customer,Sunday,12:00
Patricia Peterson,ryan70@example.net,Wedding,2025-02-25,2025-02,Boston,Massachusetts,United States,2380.3,Apple Pay,Email Campaign,Business Client,Saturday,14:00
Jonathan White,harrellkenneth@example.net,Product,2025-02-22,2025-02,Tampa,Florida,United States,735.95,PayPal,Instagram,New Customer,Friday,10:00
James Martin,georgetracy@example.org,Event,2024-10-10,2024-10,San Diego,California,United States,1272.28,Bank Transfer,Google Search,New Customer,Friday,19:00
Sandra Parker,allenashley@example.org,Wedding,2025-03-14,2025-03,Tampa,Florida,United States,1954.39,PayPal,Instagram,Business Client,Saturday,17:00
Mr. Philip Cannon,donnaarroyo@example.org,Real Estate,2024-05-09,2024-05,Seattle,Washington,United States,345.07,PayPal,Referral,New Customer,Thursday,13:30
Jenny Lewis,jenniferross@example.net,Real Estate,2024-07-14,2024-07,Miami,Florida,United States,395.11,PayPal,Direct Visit,Occasional Buyer,Monday,09:30
Joseph Martinez,calebsmith@example.net,Real Estate,2024-12-01,2024-12,New York City,New York,United States,192.22,Apple Pay,Facebook,Business Client,Thursday,13:30
Benjamin Welch,carlosjohnson@example.com,Stock Photo License,2024-07-01,2024-07,Miami,Florida,United States,64.99,Bank Transfer,Direct Visit,New Customer,Wednesday,15:00
Michael Lewis,jenniferkhan@example.net,Real Estate,2024-05-03,2024-05,San Francisco,California,United States,360.18,Bank Transfer,Facebook,Business Client,Monday,11:00
Rhonda Lee,hopkinsmichael@example.com,Stock Photo License,2024-09-27,2024-09,Chicago,Illinois,United States,29.22,Credit Card,Facebook,Business Client,Thursday,15:00
Megan Joyce,brownjessica@example.org,Real Estate,2024-09-25,2024-09,Toronto,Ontario,Canada,226.42,Apple Pay,Instagram,New Customer,Monday,09:30
Jerry Henderson,steven17@example.net,Event,2024-07-08,2024-07,Los Angeles,California,United States,586.61,Apple Pay,Referral,Business Client,Saturday,15:00
Kimberly Smith,housemelinda@example.org,Stock Photo License,2024-05-13,2024-05,Austin,Texas,United States,62.1,Credit Card,Instagram,New Customer,Tuesday,15:00
Dr. Steven Martin,gallowayjoseph@example.com,Product,2024-09-03,2024-09,Cambridge,Massachusetts,United States,430.93,Credit Card,Facebook,New Customer,Wednesday,10:00
Monica Logan,smoore@example.org,Wedding,2024-07-21,2024-07,Dallas,Texas,United States,2065.56,PayPal,Google Search,New Customer,Saturday,14:00
Kimberly Adkins,williamsthomas@example.net,Stock Photo License,2025-03-28,2025-03,Ottawa,Ontario,Canada,36.74,Cash,Direct Visit,New Customer,Thursday,15:00
Angela Lopez,leonardjoe@example.org,Portrait,2024-06-04,2024-06,Fredericton,New Brunswick,Canada,227.26,Bank Transfer,Email Campaign,Returning Customer,Wednesday,13:00
Lauren Williams,barnesbrandy@example.net,Portrait,2025-03-18,2025-03,Winnipeg,Manitoba,Canada,286.6,PayPal,Instagram,Returning Customer,Friday,13:00
Michael Edwards,randy47@example.com,Event,2024-08-01,2024-08,Vancouver,British Columbia,Canada,1162.64,Apple Pay,Google Search,New Customer,Sunday,15:00
Alexandra Howell,jonesjason@example.com,Event,2025-03-14,2025-03,Springfield,Illinois,United States,715.93,Bank Transfer,Referral,New Customer,Saturday,12:00
