Customer Name,Email,Photo Type,Purchase Date,Month,Price USD,Country,Payment Method,Referral Source,Customer Segment,Shoot Day,Shoot Time
Daniel Doyle,garzaanthony@example.org,Event,2024-04-17,2024-04,322.51,United States,PayPal,Email Campaign,New Customer,Saturday,12:00
Alyssa Gonzalez,lrobinson@example.com,Event,2024-06-27,2024-06,790.83,United States,Credit Card,Instagram,New Customer,Sunday,12:00
Robert Wolfe,joshua35@example.org,Event,2025-01-29,2025-01,805.12,Canada,Apple Pay,Facebook,Business Client,Sunday,12:00
Ryan Munoz,blairamanda@example.com,Wedding,2024-05-11,2024-05,2708.73,Canada,PayPal,Instagram,Occasional Buyer,Saturday,17:00
Mark Mcclure,barbara10@example.net,Wedding,2024-05-06,2024-05,1639.12,Canada,Credit Card,Email Campaign,New Customer,Saturday,17:00
Bobby Hall,jamesshawn@example.com,Wedding,2024-06-30,2024-06,2883.44,Canada,Apple Pay,Instagram,Business Client,Saturday,17:00
Michael Miles,lynchgeorge@example.net,Wedding,2024-06-06,2024-06,1841.85,United States,Credit Card,Referral,New Customer,Saturday,11:00
Devin Schaefer,gabriellecameron@example.org,Event,2024-07-06,2024-07,628.35,United States,Bank Transfer,Email Campaign,Occasional Buyer,Saturday,15:00
Ethan Adams,robinbradley@example.net,Event,2024-06-30,2024-06,848.22,United States,PayPal,Referral,New Customer,Friday,19:00
Jennifer Rocha,ithomas@example.org,Stock Photo License,2024-08-01,2024-08,57.0,Canada,Credit Card,Instagram,Business Client,Friday,11:00
Nicole Patterson,icox@example.net,Real Estate,2025-01-05,2025-01,300.58,Canada,PayPal,Email Campaign,New Customer,Monday,09:30
Shannon Hernandez,laurahenderson@example.org,Product,2024-10-05,2024-10,585.71,United States,PayPal,Email Campaign,Returning Customer,Tuesday,12:00
Julie King,frazierdanny@example.net,Wedding,2024-08-26,2024-08,2376.88,Canada,PayPal,Instagram,Returning Customer,Friday,19:00
Gina Carter,shawnmckay@example.net,Wedding,2025-01-07,2025-01,1570.67,Canada,Apple Pay,Google Search,New Customer,Saturday,14:00
Cassandra Gaines,meagan89@example.org,Portrait,2024-07-13,2024-07,267.01,United States,Apple Pay,Facebook,Business Client,Wednesday,10:00
Kimberly Osborne,georgetracy@example.org,Wedding,2024-06-02,2024-06,1940.25,Canada,Apple Pay,Instagram,Returning Customer,Saturday,11:00
Sandra Parker,allenashley@example.org,Wedding,2025-03-14,2025-03,2437.95,United States,Bank Transfer,Instagram,Returning Customer,Friday,14:00
Mr. Philip Cannon,donnaarroyo@example.org,Real Estate,2024-05-09,2024-05,365.18,Canada,Cash,Google Search,New Customer,Monday,13:30
Jenny Lewis,jenniferross@example.net,Portrait,2024-07-14,2024-07,396.33,United States,PayPal,Direct Visit,Occasional Buyer,Wednesday,13:00
Joseph Martinez,calebsmith@example.net,Wedding,2024-12-01,2024-12,2228.99,United States,Cash,Direct Visit,New Customer,Saturday,14:00
Benjamin Welch,carlosjohnson@example.com,Portrait,2024-07-01,2024-07,301.65,Canada,Cash,Email Campaign,Returning Customer,Tuesday,13:00
Michael Lewis,jenniferkhan@example.net,Portrait,2024-05-03,2024-05,279.39,United States,Credit Card,Facebook,New Customer,Monday,13:00
Rhonda Lee,hopkinsmichael@example.com,Portrait,2024-09-27,2024-09,297.11,United States,PayPal,Google Search,Occasional Buyer,Monday,10:00
Megan Joyce,brownjessica@example.org,Product,2024-09-25,2024-09,242.51,Canada,PayPal,Direct Visit,New Customer,Tuesday,12:00
Jerry Henderson,steven17@example.net,Product,2024-07-08,2024-07,542.63,Canada,Cash,Instagram,New Customer,Thursday,10:00
Kimberly Smith,housemelinda@example.org,Event,2024-05-13,2024-05,618.87,United States,Credit Card,Google Search,New Customer,Sunday,15:00
Dr. Steven Martin,gallowayjoseph@example.com,Wedding,2024-09-03,2024-09,2792.51,Canada,PayPal,Referral,New Customer,Saturday,14:00
Monica Logan,smoore@example.org,Portrait,2024-07-21,2024-07,368.62,United States,Credit Card,Email Campaign,Occasional Buyer,Monday,18:30
Kimberly Adkins,williamsthomas@example.net,Real Estate,2025-03-28,2025-03,584.5,Canada,Cash,Referral,New Customer,Tuesday,09:30
Angela Lopez,leonardjoe@example.org,Portrait,2024-06-04,2024-06,164.66,Canada,Bank Transfer,Referral,New Customer,Thursday,10:00
