Customer Name,Email,Photo Type,Purchase Date,Month,Price USD,Country,Payment Method,Referral Source,Customer Segment
Allison Hill,donaldgarcia@example.net,Event,2025-04-09,2025-04,322.51,United States,PayPal,Email Campaign,New Customer
Angie Henderson,davisjesse@example.net,Event,2025-04-12,2025-04,790.83,United States,Credit Card,Google Search,New Customer
Cristian Santos,lrobinson@example.com,Portrait,2025-04-09,2025-04,156.63,Canada,PayPal,Referral,Returning Customer
Abigail Shaffer,jpeterson@example.org,Real Estate,2025-04-13,2025-04,103.25,Canada,Bank Transfer,Facebook,New Customer
Gabrielle Davis,howardmaurice@example.com,Stock Photo License,2025-04-08,2025-04,41.83,United States,Bank Transfer,Facebook,Returning Customer
Monica Herrera,smiller@example.net,Real Estate,2025-04-11,2025-04,464.87,Canada,Credit Card,Direct Visit,New Customer
Shannon Ray,williamsjeremy@example.com,Event,2025-04-10,2025-04,1096.91,United States,Credit Card,Google Search,Returning Customer
Dr. Sharon James,xreid@example.org,Real Estate,2025-04-13,2025-04,592.61,United States,Cash,Facebook,New Customer
Daniel Adams,lynchgeorge@example.net,Real Estate,2025-04-10,2025-04,181.33,Canada,Credit Card,Direct Visit,Returning Customer
Joel Nelson,gabriellecameron@example.org,Portrait,2025-04-11,2025-04,211.2,Canada,Apple Pay,Instagram,Returning Customer
Andrew Stewart,carl95@example.org,Real Estate,2025-04-09,2025-04,488.0,United States,Bank Transfer,Referral,New Customer
Jennifer Rocha,ithomas@example.org,Wedding,2025-04-13,2025-04,2914.36,Canada,PayPal,Email Campaign,New Customer
Kimberly Burgess,zhurst@example.com,Product,2025-04-08,2025-04,585.71,United States,PayPal,Email Campaign,Returning Customer
Zachary Hicks,camposmichelle@example.org,Wedding,2025-04-13,2025-04,2376.88,Canada,Bank Transfer,Instagram,Occasional Buyer
Rebecca Henderson,cruzcaitlin@example.com,Wedding,2025-04-12,2025-04,2240.27,United States,PayPal,Email Campaign,New Customer
Tricia Valencia,frazierdanny@example.net,Event,2025-04-10,2025-04,836.77,Canada,Apple Pay,Facebook,Occasional Buyer
Patricia Peterson,ryan70@example.net,Product,2025-04-12,2025-04,206.89,Canada,Bank Transfer,Google Search,New Customer
Deborah Mason,williamrodriguez@example.net,Wedding,2025-04-12,2025-04,1504.87,Canada,Apple Pay,Instagram,Returning Customer
Mark Lynch,nathanielmartin@example.net,Wedding,2025-04-13,2025-04,2437.95,United States,PayPal,Facebook,Business Client
