customer_name,email,industrytype,purchasedate,month,city,region,country,price_USD,payment_method,referral_source,customer_segment,shoot_day,shoot_time
Noah Rhodes,garzaanthony@example.org,Event,2025-05-07,2025-05,North Judithbury,Missouri,United States,322.51,Credit Card,Direct Visit,New Customer,Friday,12:00
Cristian Santos,lrobinson@example.com,Wedding,2025-05-09,2025-05,East William,Quebec,Canada,1827.96,Cash,Direct Visit,New Customer,Saturday,14:00
Christopher Bernard,curtis61@example.com,Product,2025-05-06,2025-05,Port Lindachester,Quebec,Canada,655.28,PayPal,Facebook,New Customer,Thursday,12:00
Kimberly Dudley,smiller@example.net,Portrait,2025-05-08,2025-05,Cassandraton,Manitoba,Canada,239.74,Credit Card,Referral,New Customer,Wednesday,10:00
Darren Roberts,wyattmichelle@example.com,Wedding,2025-05-11,2025-05,Barbaraland,Texas,United States,2442.96,PayPal,Facebook,Occasional Buyer,Saturday,14:00
Henry Santiago,lynchgeorge@example.net,Product,2025-05-08,2025-05,Shawnstad,Quebec,Canada,719.89,Bank Transfer,Facebook,New Customer,Thursday,14:00
Timothy Watts,gabriellecameron@example.org,Wedding,2025-05-10,2025-05,East Steven,Pennsylvania,United States,2904.98,Cash,Referral,New Customer,Saturday,14:00
Derek Clark,jason76@example.net,Product,2025-05-07,2025-05,Port Antonio,Texas,United States,612.9,Bank Transfer,Referral,New Customer,Wednesday,10:00
Justin Baker,zhurst@example.com,Wedding,2025-05-11,2025-05,Thomasberg,Saskatchewan,Canada,2914.36,Cash,Instagram,New Customer,Saturday,19:00
Anthony Rodriguez,laurahenderson@example.org,Wedding,2025-05-07,2025-05,East William,Quebec,Canada,2342.05,PayPal,Direct Visit,New Customer,Saturday,19:00
Tricia Valencia,frazierdanny@example.net,Real Estate,2025-05-06,2025-05,Jamesmouth,Manitoba,Canada,530.55,Credit Card,Referral,New Customer,Tuesday,13:30
Jeffrey Chavez,teresa28@example.org,Stock Photo License,2025-05-11,2025-05,Kaylamouth,Missouri,United States,51.46,Bank Transfer,Email Campaign,New Customer,Monday,17:00
Brittany Farmer,georgetracy@example.org,Wedding,2025-05-05,2025-05,Meaganhaven,Indiana,United States,1737.24,Credit Card,Email Campaign,New Customer,Friday,17:00
David Bradley,millertodd@example.org,Event,2025-05-06,2025-05,Natashaport,Wisconsin,United States,848.07,Bank Transfer,Referral,New Customer,Friday,19:00
Carmen Rose,ibrandt@example.net,Product,2025-05-11,2025-05,East Donna,Georgia,United States,727.23,Apple Pay,Google Search,New Customer,Wednesday,10:00
Marie Kim DDS,wrightcaleb@example.org,Portrait,2025-05-10,2025-05,Lake Larry,Manitoba,Canada,167.3,PayPal,Facebook,Returning Customer,Tuesday,13:00
Mark Perez,heathchad@example.org,Event,2025-05-11,2025-05,New Jeffrey,Alberta,Canada,1167.93,Bank Transfer,Referral,Business Client,Friday,19:00
Miranda Khan,esanchez@example.com,Portrait,2025-05-05,2025-05,Elizabethborough,California,United States,211.98,Credit Card,Email Campaign,Returning Customer,Monday,13:00
Jeff Owens,nuneztracey@example.org,Wedding,2025-05-11,2025-05,North Collin,Saskatchewan,Canada,2858.13,Cash,Instagram,Returning Customer,Saturday,14:00
Connor West,dwhite@example.org,Event,2025-05-10,2025-05,South Jessicaville,Quebec,Canada,1094.14,Credit Card,Google Search,Returning Customer,Friday,15:00
Matthew Fernandez,novaksara@example.org,Portrait,2025-05-11,2025-05,South Lindseyside,Washington,United States,252.78,Bank Transfer,Google Search,New Customer,Monday,10:00
James Brown,ysmith@example.com,Wedding,2025-05-09,2025-05,South Todd,Massachusetts,United States,2172.92,Apple Pay,Google Search,New Customer,Saturday,14:00
Katelyn Lee,tanyariley@example.net,Stock Photo License,2025-05-11,2025-05,Mitchellside,Alberta,Canada,66.8,Cash,Instagram,Business Client,Tuesday,11:00
Kathryn Farrell,brianromero@example.org,Product,2025-05-05,2025-05,Lake Leeton,British Columbia,Canada,298.78,Cash,Email Campaign,Occasional Buyer,Thursday,12:00
Todd Hudson,harveyrobert@example.net,Stock Photo License,2025-05-10,2025-05,New Carlosbury,Quebec,Canada,52.79,Credit Card,Direct Visit,Business Client,Tuesday,11:00
Emily Baker,emilyevans@example.com,Wedding,2025-05-05,2025-05,Sarahborough,Indiana,United States,1970.41,Credit Card,Instagram,New Customer,Saturday,14:00
Angel Lewis MD,nicole35@example.com,Wedding,2025-05-09,2025-05,North Stephenshire,Wisconsin,United States,2792.73,Credit Card,Referral,Returning Customer,Sunday,14:00
Lisa Archer,contrerasangela@example.net,Event,2025-05-07,2025-05,South Martha,Alberta,Canada,584.73,PayPal,Email Campaign,Returning Customer,Saturday,12:00
Brittney Campbell,jenniferharris@example.net,Portrait,2025-05-11,2025-05,East Josephville,Florida,United States,382.25,Apple Pay,Instagram,Returning Customer,Monday,18:30
Sarah Davis,ccalderon@example.org,Wedding,2025-05-05,2025-05,Williamview,Massachusetts,United States,2023.51,Apple Pay,Email Campaign,New Customer,Saturday,17:00
Jeremy Thornton,rodriguezsierra@example.net,Stock Photo License,2025-05-09,2025-05,Kellieview,Illinois,United States,65.35,Bank Transfer,Google Search,Business Client,Friday,15:00
Juan Jordan,parkerrachel@example.org,Event,2025-05-08,2025-05,New Barry,Quebec,Canada,439.9,Bank Transfer,Direct Visit,New Customer,Friday,19:00
Heather Castro,vdickson@example.org,Product,2025-05-06,2025-05,Jasonbury,California,United States,707.66,Bank Transfer,Instagram,Returning Customer,Thursday,12:00
Cassandra Gutierrez,jillcook@example.com,Wedding,2025-05-10,2025-05,Port Francisco,Florida,United States,2611.85,PayPal,Direct Visit,New Customer,Saturday,11:00
Janet Williams,dwalker@example.com,Portrait,2025-05-09,2025-05,West Erik,Nova Scotia,Canada,288.13,Credit Card,Facebook,New Customer,Monday,16:30
Matthew Ross,michelle45@example.net,Wedding,2025-05-10,2025-05,Loribury,Georgia,United States,1654.19,PayPal,Instagram,Business Client,Friday,19:00
Alexander Wiley,gregory40@example.org,Wedding,2025-05-08,2025-05,Frazierside,Quebec,Canada,2604.85,Credit Card,Referral,Business Client,Sunday,14:00
William Wilson,jonathanfletcher@example.org,Product,2025-05-11,2025-05,Reedmouth,Nova Scotia,Canada,333.46,PayPal,Instagram,New Customer,Thursday,12:00
Tammie Hanson,cortezkevin@example.com,Wedding,2025-05-11,2025-05,West Ryan,Saskatchewan,Canada,1992.39,Apple Pay,Referral,Returning Customer,Sunday,17:00
Cheryl Ortega,lbyrd@example.net,Real Estate,2025-05-05,2025-05,Nguyenport,Ontario,Canada,265.57,Credit Card,Direct Visit,New Customer,Wednesday,09:30
Daniel Floyd,steven73@example.net,Event,2025-05-10,2025-05,Richardtown,North Carolina,United States,582.31,Credit Card,Email Campaign,New Customer,Thursday,15:00
Diane Beck,clarence34@example.org,Portrait,2025-05-10,2025-05,Leonburgh,Ontario,Canada,351.63,Bank Transfer,Direct Visit,New Customer,Tuesday,16:30
John Atkinson,gibsonolivia@example.net,Real Estate,2025-05-08,2025-05,East Andrew,British Columbia,Canada,459.88,Cash,Email Campaign,New Customer,Wednesday,13:30
David Douglas Jr.,osbornejeffery@example.net,Wedding,2025-05-11,2025-05,Lake Heather,Alberta,Canada,2130.67,Apple Pay,Google Search,New Customer,Saturday,14:00
Barbara Anderson,jcontreras@example.net,Wedding,2025-05-10,2025-05,Williamsbury,Saskatchewan,Canada,2678.64,PayPal,Direct Visit,New Customer,Saturday,19:00
Michelle Wagner,vmerritt@example.com,Product,2025-05-06,2025-05,Stephaniemouth,Ontario,Canada,677.61,PayPal,Email Campaign,New Customer,Monday,12:00
Destiny Strickland,rsims@example.com,Real Estate,2025-05-05,2025-05,Greenbury,Massachusetts,United States,173.68,Cash,Email Campaign,Returning Customer,Thursday,13:30
Steven Miller,jessebenson@example.net,Event,2025-05-08,2025-05,Lake Justinview,New York,United States,645.58,Cash,Instagram,New Customer,Friday,19:00
John Brown,xprice@example.net,Stock Photo License,2025-05-05,2025-05,North Robert,Quebec,Canada,50.9,Cash,Email Campaign,Returning Customer,Tuesday,11:00
Aaron Bell,acastaneda@example.net,Event,2025-05-10,2025-05,Port Nicoleshire,Nova Scotia,Canada,585.57,Apple Pay,Referral,Business Client,Sunday,19:00
Allen Rogers,dramsey@example.org,Event,2025-05-07,2025-05,South Jeffrey,Nova Scotia,Canada,727.21,Apple Pay,Referral,Returning Customer,Friday,19:00
Jeffrey Camacho,brentgray@example.org,Wedding,2025-05-08,2025-05,South Brittanytown,Illinois,United States,1616.23,PayPal,Instagram,New Customer,Saturday,17:00
Trevor Fisher,ruizkaitlyn@example.org,Wedding,2025-05-09,2025-05,Murphyfurt,Ontario,Canada,1820.93,PayPal,Referral,New Customer,Saturday,19:00
Marissa Webster,jamessmith@example.org,Real Estate,2025-05-05,2025-05,Jeffreyland,Ontario,Canada,573.03,Bank Transfer,Facebook,Business Client,Friday,11:00
Travis Marshall,katie29@example.net,Product,2025-05-09,2025-05,East Thomas,Tennessee,United States,772.06,PayPal,Facebook,New Customer,Friday,14:00
Alexander Collins,tsanders@example.org,Wedding,2025-05-10,2025-05,Port Loriport,Quebec,Canada,2004.19,Apple Pay,Direct Visit,New Customer,Saturday,14:00
Raymond Jefferson,hoganashlee@example.org,Portrait,2025-05-05,2025-05,New Hannahbury,Quebec,Canada,291.1,Credit Card,Facebook,New Customer,Thursday,13:00
Matthew Smith,gshort@example.com,Wedding,2025-05-10,2025-05,Amandastad,Nova Scotia,Canada,1990.27,Credit Card,Referral,New Customer,Saturday,19:00
Jessica Gross,christina87@example.com,Portrait,2025-05-08,2025-05,Cynthiamouth,Georgia,United States,399.98,PayPal,Google Search,Returning Customer,Monday,10:00
Samuel Rivas,ramirezshannon@example.com,Wedding,2025-05-06,2025-05,Petersenshire,Nova Scotia,Canada,2210.34,Bank Transfer,Instagram,Returning Customer,Sunday,19:00
Catherine Lewis,matthew94@example.net,Stock Photo License,2025-05-10,2025-05,Rogersfort,Maryland,United States,60.92,Credit Card,Facebook,Returning Customer,Tuesday,15:00
Jason Peters,hannahbrewer@example.com,Product,2025-05-11,2025-05,New Stacyland,New York,United States,425.18,Bank Transfer,Email Campaign,Returning Customer,Tuesday,10:00
Jared Sanchez,thomas85@example.com,Wedding,2025-05-10,2025-05,Mcguireland,Ontario,Canada,2975.77,Apple Pay,Email Campaign,New Customer,Saturday,19:00
David Martinez,leslienewton@example.net,Real Estate,2025-05-06,2025-05,Michaelmouth,Saskatchewan,Canada,511.17,PayPal,Referral,New Customer,Wednesday,13:30
Dr. William Warren,tina34@example.org,Portrait,2025-05-10,2025-05,East Javier,Alberta,Canada,312.61,Apple Pay,Facebook,New Customer,Friday,18:30
Beth Williams,tranheidi@example.org,Wedding,2025-05-07,2025-05,Harrytown,British Columbia,Canada,2901.93,Credit Card,Referral,Business Client,Saturday,19:00
Julie Alexander,tammyking@example.com,Wedding,2025-05-10,2025-05,Garciatown,Indiana,United States,1818.18,PayPal,Google Search,New Customer,Saturday,17:00
Mark Brown,lisaavery@example.org,Portrait,2025-05-07,2025-05,Port Cameronfort,Nova Scotia,Canada,288.79,Credit Card,Google Search,New Customer,Thursday,18:30
Kyle Montgomery,chayes@example.com,Portrait,2025-05-10,2025-05,North Angela,Alberta,Canada,210.83,Apple Pay,Facebook,New Customer,Wednesday,18:30
Natalie Meza,colleenbaker@example.org,Portrait,2025-05-07,2025-05,Torreston,Missouri,United States,226.66,PayPal,Instagram,New Customer,Tuesday,16:30
Aaron Hayes,ocarter@example.com,Portrait,2025-05-11,2025-05,East Glenn,Ohio,United States,331.15,Bank Transfer,Instagram,New Customer,Friday,16:30
David Baker,ronaldstephens@example.net,Portrait,2025-05-06,2025-05,Jacquelinemouth,Saskatchewan,Canada,327.0,PayPal,Email Campaign,Business Client,Monday,10:00
Christopher Parker,scott74@example.net,Portrait,2025-05-10,2025-05,West Margaret,British Columbia,Canada,368.18,PayPal,Google Search,New Customer,Thursday,18:30
Jessica George,mnavarro@example.com,Product,2025-05-05,2025-05,Benderhaven,Illinois,United States,268.45,PayPal,Direct Visit,Occasional Buyer,Thursday,10:00
Alicia Hubbard,barbara27@example.net,Wedding,2025-05-10,2025-05,North Jeremyshire,Alberta,Canada,1872.29,Cash,Facebook,Business Client,Saturday,14:00
