customer_name,email,industrytype,purchasedate,month,city,region,country,price_USD,payment_method,referral_source,customer_segment,shoot_day,shoot_time
Noah Rhodes,garzaanthony@example.org,Event,2025-04-10,2025-04,North Judithbury,New York,United States,322.51,Apple Pay,Google Search,Returning Customer,Friday,12:00
Cristian Santos,lrobinson@example.com,Wedding,2025-04-09,2025-04,East William,Missouri,United States,1640.54,Cash,Instagram,New Customer,Saturday,11:00
Christopher Bernard,curtis61@example.com,Wedding,2025-04-08,2025-04,Port Lindachester,Quebec,Canada,2803.95,PayPal,Facebook,New Customer,Saturday,17:00
Kimberly Dudley,smiller@example.net,Portrait,2025-04-11,2025-04,Cassandraton,Massachusetts,United States,239.74,Apple Pay,Google Search,Occasional Buyer,Friday,16:30
Darren Roberts,wyattmichelle@example.com,Portrait,2025-04-11,2025-04,Barbaraland,Texas,United States,288.01,PayPal,Facebook,Occasional Buyer,Friday,13:00
Henry Santiago,lynchgeorge@example.net,Product,2025-04-12,2025-04,Shawnstad,Quebec,Canada,719.89,Bank Transfer,Facebook,New Customer,Wednesday,12:00
Timothy Watts,gabriellecameron@example.org,Wedding,2025-04-07,2025-04,East Steven,Pennsylvania,United States,2904.98,Cash,Referral,New Customer,Saturday,14:00
Derek Clark,jason76@example.net,Product,2025-04-09,2025-04,Port Antonio,Texas,United States,612.9,Bank Transfer,Referral,New Customer,Wednesday,10:00
Justin Baker,zhurst@example.com,Wedding,2025-04-11,2025-04,Thomasberg,Saskatchewan,Canada,2914.36,Cash,Instagram,New Customer,Saturday,19:00
Anthony Rodriguez,laurahenderson@example.org,Wedding,2025-04-10,2025-04,East William,British Columbia,Canada,2342.05,PayPal,Instagram,Returning Customer,Friday,19:00
Tricia Valencia,frazierdanny@example.net,Wedding,2025-04-07,2025-04,Jamesmouth,Manitoba,Canada,1570.67,Credit Card,Referral,New Customer,Saturday,14:00
Jeffrey Chavez,teresa28@example.org,Stock Photo License,2025-04-06,2025-04,Kaylamouth,Nova Scotia,Canada,51.46,Bank Transfer,Google Search,New Customer,Monday,17:00
Brittany Farmer,georgetracy@example.org,Wedding,2025-04-10,2025-04,Meaganhaven,Michigan,United States,1504.87,Apple Pay,Direct Visit,New Customer,Sunday,14:00
David Bradley,millertodd@example.org,Portrait,2025-04-06,2025-04,Natashaport,Ontario,Canada,190.39,Credit Card,Facebook,Business Client,Friday,16:30
Carmen Rose,ibrandt@example.net,Real Estate,2025-04-06,2025-04,East Donna,Florida,United States,253.76,Cash,Google Search,Occasional Buyer,Tuesday,13:30
